outer_iter,phi_epoch,loss_eik,mean_residual,lr,rho_solver_iters,rho_residual,rho_change
0,0,201.34188184106702,13.927040337712896,0.001,,,
0,100,0.21412003399909624,0.397921176875857,0.001,,,
0,200,0.21231931016365788,0.38790797071792155,0.001,,,
0,300,0.2075617035198622,0.37308539588238837,0.001,,,
0,400,0.19558819686871018,0.363836336890886,0.001,,,
0,500,0.1934109680258084,0.3605064704937682,0.001,,,
0,600,0.18235966229781939,0.34982374531237626,0.001,,,
0,700,0.17533240197834,0.3462071208512899,0.001,,,
0,800,0.1660108165029712,0.3382582654168378,0.001,,,
0,900,0.1668967762664281,0.3388986858141083,0.001,,,
0,1000,0.1694170626582133,0.3419629493659318,0.001,,,
0,1100,0.15661348426655142,0.32797599413458234,0.001,,,
0,1200,0.16050606982218973,0.3338238408372272,0.001,,,
0,1300,0.1585714409883579,0.33015025035599577,0.001,,,
0,1400,0.1617997872771244,0.3354080957890781,0.001,,,
0,1500,0.1602423114002434,0.33358039883486834,0.001,,,
0,1600,0.15926716129614102,0.33268986679158274,0.001,,,
0,1700,0.16167599346122136,0.3363299117805158,0.001,,,
0,1800,0.1626830203338272,0.3369341785224815,0.001,,,
0,1900,0.15766210496708477,0.3327533841719833,0.001,,,
0,outer_summary,0.1575970276632605,0.33017344337974813,,10000,0.0027064740164684394,2350.720343196236
1,0,0.15796494293833316,0.33210485313243876,0.0008,,,
1,100,0.15757905920069637,0.3300424206321805,0.0008,,,
1,200,0.15921082478100965,0.3332186134291426,0.0008,,,
1,300,0.15776255937417885,0.3335459836211135,0.0008,,,
1,400,0.1572984687906572,0.3316839324602751,0.0008,,,
1,500,0.154125589396108,0.3285699971679848,0.0008,,,
1,600,0.1588461412946015,0.333771895452394,0.0008,,,
1,700,0.15596373250308523,0.3300891999519892,0.0008,,,
1,800,0.1552314691577196,0.32887396975481403,0.0008,,,
1,900,0.15824605400164815,0.3340133857318718,0.0008,,,
1,1000,0.1524061130742554,0.32461091673448056,0.0008,,,
1,1100,0.15491123732567114,0.3289204643540956,0.0008,,,
