outer_iter,phi_epoch,loss_eik,mean_residual,lr,rho_solver_iters,rho_residual,rho_change
0,0,198.36144849283534,13.826709191092249,0.001,,,
0,100,0.08590890579630675,0.24367737834278824,0.001,,,
0,200,0.04062768135581148,0.141197841103782,0.001,,,
0,300,0.04373689567390767,0.13993038762303794,0.001,,,
0,400,0.0438837532395373,0.14178515916531834,0.001,,,
0,500,0.04251148941586644,0.13660632865369074,0.001,,,
0,600,0.04387968431012257,0.13895418674285198,0.001,,,
0,700,0.04097489311541791,0.1364007554629926,0.001,,,
0,800,0.0427711749170464,0.1386895736402692,0.001,,,
0,900,0.04062968335112017,0.13280350003191485,0.001,,,
0,1000,0.04061799855775685,0.1348115203164843,0.001,,,
0,1100,0.038181255926265374,0.1308582022031461,0.001,,,
0,1200,0.04059027451117749,0.133472178214461,0.001,,,
0,1300,0.03660750679378142,0.12869480465935046,0.001,,,
0,1400,0.03653551890862075,0.1284995814358736,0.001,,,
0,1500,0.032905941007085576,0.12075240891263253,0.001,,,
0,1600,0.03084415255068255,0.11903766732312676,0.001,,,
0,1700,0.02902753608986534,0.1156366049015028,0.001,,,
0,1800,0.026798179558271996,0.11533011122203342,0.001,,,
0,1900,0.03014320090649647,0.11836639309313181,0.001,,,
0,outer_summary,0.028938579643946496,0.11865386721503346,,10000,0.0005666586402298095,234.8188476887788
1,0,0.02513387781170763,0.11215187161443346,0.0008,,,
1,100,0.025173938945052488,0.11113163735456287,0.0008,,,
1,200,0.02574836822611381,0.11263589110864942,0.0008,,,
1,300,0.02500525064464189,0.11209619321188988,0.0008,,,
1,400,0.024402910580312544,0.11082573928140473,0.0008,,,
1,500,0.023799074587750473,0.10709147674596683,0.0008,,,
1,600,0.02278634420146071,0.1067185629622358,0.0008,,,
1,700,0.02276560783979915,0.1056693119847015,0.0008,,,
1,800,0.02012111012838489,0.10146176231381321,0.0008,,,
1,900,0.01903382371300823,0.09825629015503809,0.0008,,,
1,1000,0.018420490239870684,0.0976550076132062,0.0008,,,
1,1100,0.01792912337586417,0.09623142845823862,0.0008,,,
1,1200,0.018471352054655703,0.09425753517217646,0.0008,,,
1,1300,0.017389555794474175,0.09202618563156091,0.0008,,,
1,1400,0.01647980451391593,0.08931658432526937,0.0008,,,
1,1500,0.015467688651684066,0.08601323283032009,0.0008,,,
1,1600,0.01478662281159088,0.08531412795072997,0.0008,,,
1,1700,0.015141591314358981,0.0835570197978919,0.0008,,,
1,1800,0.01461937544478875,0.08341244973599468,0.0008,,,
1,1900,0.013397648915394057,0.07913922408322631,0.0008,,,
1,outer_summary,0.01368725358036421,0.08010760207769123,,10000,0.0004279304692703633,1.695297084280217
2,0,0.013906204636139402,0.0788285249752194,0.00064,,,
2,100,0.013157951426950051,0.0777646716235834,0.00064,,,
2,200,0.013021795674533718,0.07550607881158687,0.00064,,,
2,300,0.012834478899503645,0.07436049724504858,0.00064,,,
2,400,0.011411620988316573,0.07170197930671822,0.00064,,,
2,500,0.010337228386547015,0.06745441151605373,0.00064,,,
2,600,0.011122880295240741,0.0689477045440235,0.00064,,,
2,700,0.010362571203393135,0.06654989211618295,0.00064,,,
2,800,0.009448403282972657,0.06373039768588792,0.00064,,,
2,900,0.009240030265187132,0.06259317408784783,0.00064,,,
2,1000,0.008480077051514486,0.061094572567782876,0.00064,,,
2,1100,0.007956469457646933,0.058721685820650245,0.00064,,,
2,1200,0.007400618226669332,0.055962052774820345,0.00064,,,
2,1300,0.0071835094598428845,0.05503616247450823,0.00064,,,
2,1400,0.006789656230893016,0.053068878847802016,0.00064,,,
2,1500,0.006373839857362312,0.04961941131013426,0.00064,,,
2,1600,0.006027678392202321,0.04878686304346801,0.00064,,,
2,1700,0.006530660493309117,0.049406584649701,0.00064,,,
2,1800,0.0063192298231565525,0.04667539947086097,0.00064,,,
2,1900,0.005885486409858447,0.04549480864202759,0.00064,,,
2,outer_summary,0.0051197166855581275,0.04300956366379689,,10000,0.0004010614746543833,0.8157105011079432
3,0,0.006111971242176104,0.04577268281857792,0.0005120000000000001,,,
3,100,0.0053759594859409295,0.04275603886142883,0.0005120000000000001,,,
3,200,0.005044562934518002,0.04099501430901425,0.0005120000000000001,,,
3,300,0.004348928700063171,0.03904453736228821,0.0005120000000000001,,,
3,400,0.004969499768142096,0.04042528383587801,0.0005120000000000001,,,
3,500,0.004626206670885657,0.039166406842396355,0.0005120000000000001,,,
3,600,0.0042429079924465605,0.038016150599594005,0.0005120000000000001,,,
3,700,0.004463928122043975,0.03820120269834395,0.0005120000000000001,,,
3,800,0.004075871918640169,0.03585132831520128,0.0005120000000000001,,,
3,900,0.004030966458441222,0.035862743793905215,0.0005120000000000001,,,
3,1000,0.004309361071904131,0.03560796239482394,0.0005120000000000001,,,
3,1100,0.003957015120905493,0.03422492497680711,0.0005120000000000001,,,
3,1200,0.003887555453232804,0.033925343017316964,0.0005120000000000001,,,
3,1300,0.003814067360168225,0.03277331942944935,0.0005120000000000001,,,
3,1400,0.0031281162675468716,0.03023321764049698,0.0005120000000000001,,,
3,1500,0.003502808296592606,0.0308364207774242,0.0005120000000000001,,,
3,1600,0.003252806304814973,0.03004370319470529,0.0005120000000000001,,,
3,1700,0.003146151561681498,0.029087899225304605,0.0005120000000000001,,,
3,1800,0.0029319973739148054,0.02848506939101871,0.0005120000000000001,,,
3,1900,0.0032329776766487103,0.029500106102105052,0.0005120000000000001,,,
3,outer_summary,0.003640006816489255,0.029739156875711735,,10000,0.0003877966548984297,0.49078666359642326
4,0,0.002886126256045162,0.02803444019716372,0.0004096000000000001,,,
4,100,0.003191799724731215,0.029167551041876134,0.0004096000000000001,,,
4,200,0.0034995305249561773,0.029254993782393376,0.0004096000000000001,,,
