outer_iter,phi_epoch,loss_eik,mean_residual,lr,rho_solver_iters,rho_residual,rho_change
0,0,198.40170661189845,13.8308493416694,0.001,,,
0,100,0.05145942390210091,0.20001371711456659,0.001,,,
0,200,0.007579936924286426,0.0705675346683019,0.001,,,
0,300,0.007137191592243156,0.06816561539256719,0.001,,,
0,400,0.006671221180137926,0.06592147479728797,0.001,,,
0,500,0.006378511792846537,0.06434949234058661,0.001,,,
0,600,0.006224762822972234,0.0637030134956131,0.001,,,
0,700,0.005946173695010157,0.06244414231703728,0.001,,,
0,800,0.005522752005853502,0.060217981382967314,0.001,,,
0,900,0.005167642494918528,0.05823461781194748,0.001,,,
0,1000,0.004950257312658148,0.05698634759799956,0.001,,,
0,1100,0.004541076936223968,0.05447306399440167,0.001,,,
0,1200,0.004502321028960454,0.05446131951966901,0.001,,,
0,1300,0.004227641367843928,0.05284112236213935,0.001,,,
0,1400,0.0040720522427240766,0.051748307910898454,0.001,,,
0,1500,0.003922746648668505,0.05092481694778813,0.001,,,
0,1600,0.003552280643500617,0.04803819808244098,0.001,,,
0,1700,0.003308449643740852,0.046580080655200716,0.001,,,
0,1800,0.003299448015832352,0.04633949216680282,0.001,,,
0,1900,0.002997933783741514,0.044938625566927626,0.001,,,
0,outer_summary,0.0029116799576709602,0.04373493637202044,,10000,0.0005472507202379909,229.02058258159494
1,0,0.002910161273471831,0.043668631256046,0.0008,,,
1,100,0.002714345650659021,0.04228519164419033,0.0008,,,
1,200,0.0026436499800415584,0.041653845262703014,0.0008,,,
1,300,0.002496080026185438,0.04051652466709631,0.0008,,,
1,400,0.0024547910436343674,0.04005032173964168,0.0008,,,
1,500,0.002331654808248693,0.0394364454162655,0.0008,,,
1,600,0.002252648693102213,0.0385300275913035,0.0008,,,
1,700,0.0021704040719624142,0.03786415612921775,0.0008,,,
1,800,0.002098453914521697,0.037272855180745204,0.0008,,,
1,900,0.00191914623061095,0.03552336424809559,0.0008,,,
1,1000,0.0018392394169902666,0.034913737228287126,0.0008,,,
1,1100,0.0018670410591254153,0.03520984278061977,0.0008,,,
1,1200,0.0017305097183393952,0.0337872248821531,0.0008,,,
1,1300,0.0016697650457974278,0.03309529595813161,0.0008,,,
1,1400,0.0015736485301643623,0.03220281252933413,0.0008,,,
1,1500,0.0015065223786311277,0.031600782444322996,0.0008,,,
1,1600,0.0014474757566699783,0.030919041193895498,0.0008,,,
1,1700,0.0013303356989639074,0.02953691762391411,0.0008,,,
1,1800,0.0012585164310371022,0.02879377918002457,0.0008,,,
1,1900,0.001189910640864973,0.027941267912562958,0.0008,,,
1,outer_summary,0.0012310367707092538,0.028172301678774273,,10000,0.0003968026023465493,1.4850244072584176
2,0,0.0012159402593304584,0.0281145249874813,0.00064,,,
2,100,0.0011196532377967716,0.026939622627085987,0.00064,,,
2,200,0.0011097388757654162,0.026832328028579225,0.00064,,,
2,300,0.001056495145994767,0.02607464274057852,0.00064,,,
2,400,0.0010254160161934198,0.025762193115839042,0.00064,,,
2,500,0.0009632210875571026,0.024965261276428577,0.00064,,,
2,600,0.0009247014934022063,0.024395637821562663,0.00064,,,
2,700,0.0008852734854104782,0.023823437766200835,0.00064,,,
2,800,0.0008351890674705924,0.02314520028662907,0.00064,,,
2,900,0.0008027320129056301,0.02259933217660556,0.00064,,,
2,1000,0.0007554184443231252,0.022169704615313608,0.00064,,,
2,1100,0.0007183607235006959,0.021218998712114603,0.00064,,,
2,1200,0.0007066972775917893,0.02128013311582003,0.00064,,,
2,1300,0.0006606166986646559,0.020447405509841397,0.00064,,,
2,1400,0.000622947263197443,0.01977007991984326,0.00064,,,
2,1500,0.0006148344112745491,0.019446923118259532,0.00064,,,
2,1600,0.0005820482751342649,0.019069302849998516,0.00064,,,
2,1700,0.0005310165625921219,0.018301644533959473,0.00064,,,
2,1800,0.0005282863517505694,0.018350695085099365,0.00064,,,
2,1900,0.00049603629167296,0.01771406809446771,0.00064,,,
2,outer_summary,0.00044767548181377955,0.016691249646017765,,10000,0.00036896312851028595,0.8026176716066847
3,0,0.00048566051797706967,0.017203725080151173,0.0005120000000000001,,,
3,100,0.00046888868876199767,0.016997389918910553,0.0005120000000000001,,,
3,200,0.00043617170617622726,0.016220965749114847,0.0005120000000000001,,,
3,300,0.0004052876065285345,0.01576692427742488,0.0005120000000000001,,,
3,400,0.0004063322138342704,0.015744326391068195,0.0005120000000000001,,,
3,500,0.0003928761572988496,0.015249020771792233,0.0005120000000000001,,,
3,600,0.00038311007129147195,0.014971885723516369,0.0005120000000000001,,,
3,700,0.00034429713597295536,0.014320758228721213,0.0005120000000000001,,,
3,800,0.00033997676467600565,0.014084588297372096,0.0005120000000000001,,,
3,900,0.0003222281029402824,0.013710798052991902,0.0005120000000000001,,,
3,1000,0.000304325537182958,0.013258200522588408,0.0005120000000000001,,,
3,1100,0.0002733542074179026,0.012624386753974117,0.0005120000000000001,,,
3,1200,0.00025424690200475384,0.012321047143527298,0.0005120000000000001,,,
3,1300,0.00024139855994199184,0.011766029552246192,0.0005120000000000001,,,
3,1400,0.00024518337123444943,0.011749992570202745,0.0005120000000000001,,,
3,1500,0.00021321989178018505,0.011002549379264318,0.0005120000000000001,,,
3,1600,0.00019367869254465237,0.010705311042865604,0.0005120000000000001,,,
3,1700,0.0001918206995930258,0.010366366541846162,0.0005120000000000001,,,
3,1800,0.0001637644624094537,0.009778084389502421,0.0005120000000000001,,,
3,1900,0.00017290128473870865,0.00969270758673056,0.0005120000000000001,,,
3,outer_summary,0.00015761591191165532,0.009246292295614331,,10000,0.00035488028718364765,0.4968986850326225
4,0,0.00017121063238663086,0.009446166832957315,0.0004096000000000001,,,
4,100,0.00017213874538459106,0.009279844375025126,0.0004096000000000001,,,
4,200,0.00014797631455336306,0.008680457701714085,0.0004096000000000001,,,
4,300,0.00013514411885235216,0.008394152081047896,0.0004096000000000001,,,
4,400,0.00013967834317998038,0.00832372081487873,0.0004096000000000001,,,
4,500,0.00013129915457150772,0.007943781616724911,0.0004096000000000001,,,
4,600,0.00011837362839925636,0.007567622663608566,0.0004096000000000001,,,
4,700,0.00010484276125211736,0.007228899120396757,0.0004096000000000001,,,
4,800,9.308748660481437e-05,0.0067525759995762605,0.0004096000000000001,,,
4,900,0.00010208264290003562,0.006709115530847456,0.0004096000000000001,,,
4,1000,8.702722503382623e-05,0.006162986426021437,0.0004096000000000001,,,
4,1100,8.797300347385835e-05,0.0061137819122615115,0.0004096000000000001,,,
4,1200,7.359755350636412e-05,0.0056485886839905365,0.0004096000000000001,,,
4,1300,6.959778867642863e-05,0.005476466186685613,0.0004096000000000001,,,
4,1400,6.854931577699354e-05,0.0051353404668231925,0.0004096000000000001,,,
4,1500,7.17450422463864e-05,0.004974626916285944,0.0004096000000000001,,,
4,1600,5.696723598325331e-05,0.004562440287510585,0.0004096000000000001,,,
