outer_iter,phi_epoch,loss_eik,mean_residual,lr,rho_solver_iters,rho_residual,rho_change
0,0,263.0132747805884,15.910609635621741,0.001,,,
0,100,0.7869393566904199,0.6399526678117715,0.001,,,
0,200,0.2963755434524309,0.3540778123407872,0.001,,,
0,300,0.22417164198699335,0.3148552310958841,0.001,,,
0,400,0.20499335323998652,0.31265044462599156,0.001,,,
0,500,0.19106888362554464,0.31724075780302663,0.001,,,
0,600,0.18357173490161416,0.3142451644795426,0.001,,,
0,700,0.1989249877055737,0.3316091340358681,0.001,,,
0,800,0.20173435951370838,0.3316694372898611,0.001,,,
0,900,0.19477259232205066,0.32748219175088483,0.001,,,
0,1000,0.19480888664552845,0.33241326748335237,0.001,,,
0,1100,0.1814762430376323,0.3186626910796862,0.001,,,
0,1200,0.1879819528029026,0.3250061612615713,0.001,,,
0,1300,0.18535002611920406,0.3240735907651121,0.001,,,
0,1400,0.17917845587506734,0.3185066418434023,0.001,,,
0,1500,0.1817798535355421,0.31896338091898385,0.001,,,
0,1600,0.18356991366863404,0.32023931643175185,0.001,,,
0,1700,0.18019801260321172,0.31447327683467996,0.001,,,
0,1800,0.16624977648365077,0.30669873308310824,0.001,,,
0,1900,0.1750783693026602,0.309358699338172,0.001,,,
0,outer_summary,0.17156475893316372,0.3034375390078973,,10000,0.0006371377588654969,11550825045.830896
1,0,0.16331703217732058,0.29738394357916975,0.0008,,,
1,100,0.1626298141866978,0.3002460540592655,0.0008,,,
1,200,0.16224861133621873,0.297502240729226,0.0008,,,
1,300,0.15668157258314297,0.2907671610715866,0.0008,,,
1,400,0.16779158274695552,0.30029500389962155,0.0008,,,
1,500,0.14563632333993903,0.2769959979857352,0.0008,,,
1,600,0.15342617311134712,0.28404064682072755,0.0008,,,
1,700,0.14230963334428476,0.27358583508696216,0.0008,,,
1,800,0.14302144750613258,0.2771784197283308,0.0008,,,
1,900,0.13453072473523417,0.2631024826630967,0.0008,,,
1,1000,0.136298122943246,0.26203673569979413,0.0008,,,
1,1100,0.12328178641241024,0.2520776142785902,0.0008,,,
1,1200,0.12197903376290305,0.24701729650605375,0.0008,,,
1,1300,0.11956283241838556,0.24504440956392903,0.0008,,,
1,1400,0.11072835363049811,0.23200224508512915,0.0008,,,
1,1500,0.10750878525573354,0.2267870172462377,0.0008,,,
1,1600,0.10510887287444569,0.22248130199455446,0.0008,,,
1,1700,0.09926442909495378,0.21262355325196303,0.0008,,,
1,1800,0.09294054518739463,0.20364981444177174,0.0008,,,
1,1900,0.08530058833545197,0.19614601429178022,0.0008,,,
1,outer_summary,0.08601033388562056,0.19472583263924018,,10000,0.000181664289988856,1.1349061601214412
2,0,0.08315047735934608,0.1927613282347961,0.00064,,,
2,100,0.08327104578173482,0.19265970397065543,0.00064,,,
2,200,0.07365823845866114,0.17995951704793298,0.00064,,,
2,300,0.07648276433047375,0.18021815467559138,0.00064,,,
2,400,0.0702088719185803,0.172262288799933,0.00064,,,
2,500,0.06306445359990742,0.16404950175006275,0.00064,,,
2,600,0.06401088465150707,0.1622440067067527,0.00064,,,
2,700,0.06287141427466326,0.1624051824697382,0.00064,,,
2,800,0.05812828398459228,0.15439155001613664,0.00064,,,
2,900,0.056778496184314256,0.15204586172657375,0.00064,,,
2,1000,0.05655380565221344,0.15044039955550698,0.00064,,,
2,1100,0.04953512691154833,0.1432990764633394,0.00064,,,
2,1200,0.04587897123433572,0.13934941469260095,0.00064,,,
2,1300,0.0483819084734122,0.14007995029894535,0.00064,,,
2,1400,0.049716798236543076,0.1424852707629357,0.00064,,,
2,1500,0.04561275859136734,0.1365689620974102,0.00064,,,
2,1600,0.04356107655598724,0.1353047351871559,0.00064,,,
2,1700,0.04924948459987488,0.1397089451867475,0.00064,,,
2,1800,0.04792252511324571,0.13678042509119656,0.00064,,,
2,1900,0.044876117922539246,0.13160736241897678,0.00064,,,
2,outer_summary,0.0419085730434219,0.12906755723442453,,10000,0.0001321113720010315,0.5624768951281837
3,0,0.04525478546655201,0.13326842524344543,0.0005120000000000001,,,
3,100,0.041069164746490285,0.1260948245396934,0.0005120000000000001,,,
3,200,0.040116457288830946,0.12511176794374,0.0005120000000000001,,,
3,300,0.038670632926957396,0.12173016407765846,0.0005120000000000001,,,
3,400,0.03994651124763382,0.1217659761006233,0.0005120000000000001,,,
3,500,0.03923343539365951,0.11908166477223577,0.0005120000000000001,,,
3,600,0.037564691712274396,0.11820044891523045,0.0005120000000000001,,,
3,700,0.035928920312070685,0.11266893466585473,0.0005120000000000001,,,
3,800,0.035662121305715305,0.11280229735168333,0.0005120000000000001,,,
3,900,0.03437432302674785,0.10890652195616723,0.0005120000000000001,,,
3,1000,0.03377554032375089,0.10736526727958093,0.0005120000000000001,,,
3,1100,0.031456597882145686,0.10363196623504341,0.0005120000000000001,,,
3,1200,0.034581575159373386,0.10954912587477238,0.0005120000000000001,,,
3,1300,0.029549164038351373,0.09907941568996208,0.0005120000000000001,,,
3,1400,0.026963368490573986,0.09529918002765102,0.0005120000000000001,,,
3,1500,0.02785131713931872,0.09856454138288966,0.0005120000000000001,,,
3,1600,0.028399310016950615,0.09869381454225201,0.0005120000000000001,,,
3,1700,0.024798345089313185,0.09358943721584267,0.0005120000000000001,,,
3,1800,0.02463798872050595,0.09337008406679964,0.0005120000000000001,,,
3,1900,0.025466322408598682,0.09354266132832094,0.0005120000000000001,,,
3,outer_summary,0.0234618428213032,0.09207602159887858,,10000,0.00016619759224654373,0.3727959080438404
4,0,0.022730169939828942,0.09029497568310407,0.0004096000000000001,,,
4,100,0.02339858182480945,0.09269217615571294,0.0004096000000000001,,,
4,200,0.022553735235095445,0.08951586598263163,0.0004096000000000001,,,
4,300,0.022353827601091145,0.08920183078531799,0.0004096000000000001,,,
4,400,0.02051044477765855,0.08419149195535584,0.0004096000000000001,,,
4,500,0.019252039807473083,0.08283540651233103,0.0004096000000000001,,,
4,600,0.0188689969007111,0.08069064562888144,0.0004096000000000001,,,
4,700,0.018287469993442013,0.08085875429633634,0.0004096000000000001,,,
4,800,0.017810776019865932,0.07788744897895306,0.0004096000000000001,,,
4,900,0.01934576665453786,0.07956529926113273,0.0004096000000000001,,,
4,1000,0.015980540614567527,0.0736357138443315,0.0004096000000000001,,,
4,1100,0.017421223687449673,0.07765254272117425,0.0004096000000000001,,,
4,1200,0.01598510266473245,0.07339202955178592,0.0004096000000000001,,,
4,1300,0.015047518264167678,0.07006923790020697,0.0004096000000000001,,,
4,1400,0.0152482915567835,0.07301669880484758,0.0004096000000000001,,,
4,1500,0.014348529752013402,0.0696316752972523,0.0004096000000000001,,,
4,1600,0.013693172204496389,0.0700144370757134,0.0004096000000000001,,,
4,1700,0.014106998727976761,0.0698019332241041,0.0004096000000000001,,,
4,1800,0.012624893415865495,0.06542857856185733,0.0004096000000000001,,,
4,1900,0.011857314781914466,0.06344907108320408,0.0004096000000000001,,,
4,outer_summary,0.012331817301752077,0.06513147040926742,,10000,0.0005219958768785065,0.3040973356361017
5,0,0.012603948603128913,0.06703196188310158,0.0003276800000000001,,,
5,100,0.01141478393606966,0.0650274868257864,0.0003276800000000001,,,
5,200,0.011864244623171089,0.06518377661565387,0.0003276800000000001,,,
5,300,0.012191106767672473,0.0661811010942352,0.0003276800000000001,,,
5,400,0.010716168793257052,0.06177228580650211,0.0003276800000000001,,,
5,500,0.009945928852442682,0.05900918220108833,0.0003276800000000001,,,
5,600,0.009718045972084722,0.05874295038066217,0.0003276800000000001,,,
5,700,0.010307541255462476,0.06007492239702837,0.0003276800000000001,,,
5,800,0.008941925766152894,0.05636302914463463,0.0003276800000000001,,,
5,900,0.009118190552341187,0.05655086088126771,0.0003276800000000001,,,
5,1000,0.009051914942012813,0.05588724856637574,0.0003276800000000001,,,
5,1100,0.00844683972098122,0.053563898912163406,0.0003276800000000001,,,
5,1200,0.007619278410315234,0.05187429234138241,0.0003276800000000001,,,
5,1300,0.007895913829439922,0.051236630111853795,0.0003276800000000001,,,
5,1400,0.007713748061417885,0.050768356809241286,0.0003276800000000001,,,
5,1500,0.007348308480495287,0.05079746631599654,0.0003276800000000001,,,
5,1600,0.007491737925170034,0.048977550146655675,0.0003276800000000001,,,
5,1700,0.007492690739017962,0.048423502571560494,0.0003276800000000001,,,
5,1800,0.007097521049068904,0.047132039656661184,0.0003276800000000001,,,
5,1900,0.006612641121345221,0.04671864633636965,0.0003276800000000001,,,
5,outer_summary,0.006494535030064138,0.04720933500514042,,10000,0.0006291671137334116,0.23811119737339298
6,0,0.006727645263239532,0.04803229317243159,0.0002621440000000001,,,
6,100,0.005890721941817399,0.044274750555335786,0.0002621440000000001,,,
6,200,0.006723923615845488,0.04679686680901327,0.0002621440000000001,,,
6,300,0.006195740382932734,0.04499196888023658,0.0002621440000000001,,,
6,400,0.0062333724669690555,0.04477132237252813,0.0002621440000000001,,,
6,500,0.006528441682776896,0.04592874157912155,0.0002621440000000001,,,
6,600,0.006060591569546591,0.04416146342990536,0.0002621440000000001,,,
6,700,0.005872470715387413,0.043757210303036205,0.0002621440000000001,,,
6,800,0.005838015775447038,0.04336651456671289,0.0002621440000000001,,,
6,900,0.005698214602567,0.043028730977443745,0.0002621440000000001,,,
6,1000,0.005187827148049224,0.041364285730469325,0.0002621440000000001,,,
6,1100,0.00573922712156298,0.04502289407390933,0.0002621440000000001,,,
6,1200,0.005028832524856461,0.04101822244947923,0.0002621440000000001,,,
6,1300,0.005358740460332327,0.04042639904467162,0.0002621440000000001,,,
6,1400,0.004950808813619677,0.03901611844294755,0.0002621440000000001,,,
6,1500,0.005455339841322701,0.040198572010864075,0.0002621440000000001,,,
6,1600,0.0048755350415740535,0.03895722450305662,0.0002621440000000001,,,
6,1700,0.00463682855516592,0.03807613378495136,0.0002621440000000001,,,
6,1800,0.004689453897515403,0.038590074628991326,0.0002621440000000001,,,
6,1900,0.004546219649721264,0.04112345617826412,0.0002621440000000001,,,
6,outer_summary,0.00522008888528933,0.0388118755550658,,10000,0.0004205041563542781,0.19455256673788462
7,0,0.004385213421537538,0.037285333681178943,0.00020971520000000012,,,
7,100,0.004599808482594004,0.03774140290925944,0.00020971520000000012,,,
7,200,0.004497645621927935,0.037568016098381986,0.00020971520000000012,,,
7,300,0.004418866997050113,0.038072362336210246,0.00020971520000000012,,,
7,400,0.003949528252839504,0.03584046926788881,0.00020971520000000012,,,
7,500,0.0038598892370135343,0.03520932582074386,0.00020971520000000012,,,
7,600,0.004286031408685785,0.03611922178122858,0.00020971520000000012,,,
7,700,0.003979694917046908,0.0361892364465868,0.00020971520000000012,,,
7,800,0.003974542071091503,0.0355580919997324,0.00020971520000000012,,,
7,900,0.003857602817462404,0.035105317817612065,0.00020971520000000012,,,
7,1000,0.0038475145299391913,0.03587378531075564,0.00020971520000000012,,,
7,1100,0.004016361408392381,0.03568170466775146,0.00020971520000000012,,,
7,1200,0.0038708477639647913,0.034866512283519155,0.00020971520000000012,,,
7,1300,0.0040731252231896945,0.035066269047866444,0.00020971520000000012,,,
7,1400,0.004548665316678558,0.038163794468177185,0.00020971520000000012,,,
7,1500,0.003753495549609685,0.03533640059564516,0.00020971520000000012,,,
7,1600,0.003714632833798317,0.033978240288526335,0.00020971520000000012,,,
7,1700,0.003464561689064287,0.03180321683946907,0.00020971520000000012,,,
7,1800,0.0035897539186403853,0.03466126375357465,0.00020971520000000012,,,
7,1900,0.0039029843993943695,0.037444209763602535,0.00020971520000000012,,,
7,outer_summary,0.003683740374116885,0.033739938756067275,,10000,0.0002608729735894935,0.15812775984617253
8,0,0.0037509825499619405,0.034527472895769816,0.0001677721600000001,,,
8,100,0.0032045130576576404,0.03219497260078062,0.0001677721600000001,,,
8,200,0.003939391773262812,0.03407831343078746,0.0001677721600000001,,,
8,300,0.0037673520005118296,0.03351936425781012,0.0001677721600000001,,,
8,400,0.0034480953068893013,0.032765757751669115,0.0001677721600000001,,,
8,500,0.0032356372407473214,0.032020851967906994,0.0001677721600000001,,,
8,600,0.0031798155850097914,0.032962538932685345,0.0001677721600000001,,,
8,700,0.0034824369772618,0.034089394900171655,0.0001677721600000001,,,
8,800,0.00338606439180529,0.03346637051025766,0.0001677721600000001,,,
